Año,Componente,Estado,Entidad
2024,Conectividad,Finalizado,ENAC
2024,Conectividad,Finalizado,DGDC
2024,Conectividad,Finalizado,FO Clínicas
2024,Conectividad,Finalizado,Psicología
2024,Conectividad,Finalizado,UNAM Oaxaca
2024,Conectividad,Finalizado,FES Iztacala
2024,Conectividad,Finalizado,FES Acatlán
2024,Conectividad,Finalizado,FES Aragón
2024,Conectividad,Finalizado,FES Zaragoza
2024,Conectividad,Finalizado,FES Cuautitlán
2024,Conectividad,En proceso,DGAE
2024,Conectividad,En proceso,CEPE
2024,Conectividad,En proceso,FCA
2024,Conectividad,En proceso,DGSGM
2024,Conectividad,En proceso,Difusión Cultural
2024,Conectividad,En proceso,CIGA
2024,Conectividad,En proceso,IER
2024,Conectividad,En proceso,IINGEN
2024,Conectividad,En proceso,IF
2024,Conectividad,En proceso,IIFL
2024,Préstamo,Finalizado,Psicología
2024,Préstamo,Finalizado,UNAM Oaxaca
2024,Préstamo,Finalizado,FES Acatlán
2024,Préstamo,En proceso,ENAC
2024,Préstamo,En proceso,CNyN
2024,Préstamo,En proceso,CIGA
2024,Préstamo,En proceso,FFyL
2024,Préstamo,En proceso,Defensoría
2024,Modernización,Finalizado,FI
2024,Modernización,En proceso,Psicología
2024,Modernización,En proceso,FES Iztacala
2024,Modernización,En proceso,ENTS
2024,Modernización,En proceso,Economía
2024,Modernización,En proceso,ENALLT
2024,Modernización,En proceso,Trabajo Social
2024,Modernización,En proceso,FFyL
2025,Conectividad,Finalizado,ENAC
2025,Conectividad,Finalizado,DGDC
2025,Conectividad,Finalizado,FO Clínicas
2025,Conectividad,Finalizado,Psicología
2025,Conectividad,Finalizado,UNAM Oaxaca
2025,Conectividad,Finalizado,FES Iztacala
2025,Conectividad,Finalizado,FES Acatlán
2025,Conectividad,Finalizado,FES Aragón
2025,Conectividad,Finalizado,FES Zaragoza
2025,Conectividad,Finalizado,FES Cuautitlán
2025,Conectividad,Finalizado,CNyN
2025,Conectividad,Finalizado,DGOAE
2025,Conectividad,En proceso,Economía
2025,Conectividad,En proceso,IIFL
2025,Conectividad,En proceso,IB Los Tuxtlas
2025,Conectividad,En proceso,DGDH
2025,Conectividad,En proceso,FCA
2025,Conectividad,En proceso,DGSGM
2025,Conectividad,En proceso,CEPE
2025,Conectividad,En proceso,IF
2025,Conectividad,En proceso,CIGA
2025,Conectividad,En proceso,ENES Morelia
2025,Conectividad,En proceso,Trabajo Social
2025,Conectividad,En proceso,IER
2025,Conectividad,En proceso,Ingeniería
2025,Préstamo,Finalizado,FCA
2025,Préstamo,Finalizado,ENTS
2025,Préstamo,Finalizado,Economía
2025,Préstamo,Finalizado,IIFL
2025,Préstamo,Finalizado,ENES Morelia
2025,Préstamo,Finalizado,FENO
2025,Préstamo,Finalizado,FCPyS
2025,Préstamo,Finalizado,Trabajo Social
2025,Préstamo,Finalizado,FFyL
2025,Préstamo,En proceso,CNyN
2025,Préstamo,En proceso,CIGA
2025,Préstamo,En proceso,IER
2025,Préstamo,En proceso,IIFL
2025,Préstamo,En proceso,DGSGM
2025,Modernización,Finalizado,Economía
2025,Modernización,Finalizado,ENALLT
2025,Modernización,Finalizado,FFyL
2025,Modernización,Finalizado,FI
2025,Modernización,En proceso,Psicología
2025,Modernización,En proceso,FES Iztacala
2025,Modernización,En proceso,ENTS
